# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeTotalNS,1715137196105000000,1715137256116000000,4590933422
FlushQueue.waitingTime90PNs,1715137196105000000,1715137256116000000,99614719
NonBlockingReadAction.finalizedExecutionsCount,1715137196105000000,1715137256116000000,54
FlushQueue.tasksExecuted,1715137196105000000,1715137256116000000,2500
AWTEventQueue.dispatchTimeMaxNs,1715137196105000000,1715137256116000000,285212671
ReadAction.executionsCount,1715137196105000000,1715137256116000000,198165
FlushQueue.queueSize90P,1715137196105000000,1715137256116000000,66
FlushQueue.executionTimeAvgNs,1715137196105000000,1715137256116000000,1042218.8164
NonBlockingReadAction.failedExecutionTimeUs,1715137196105000000,1715137256116000000,225018
AWTEventQueue.dispatchTimeAvgNs,1715137196105000000,1715137256116000000,2382101.253112033
FlushQueue.executionTimeMaxNs,1715137196105000000,1715137256116000000,283115519
FlushQueue.waitingTimeMaxNs,1715137196105000000,1715137256116000000,868220927
AWTEventQueue.eventsDispatched,1715137196105000000,1715137256116000000,1928
FlushQueue.queueSizeAvg,1715137196105000000,1715137256116000000,18.5476
NonBlockingReadAction.finalizedExecutionTimeUs,1715137196105000000,1715137256116000000,515037
NonBlockingReadAction.failedExecutionsCount,1715137196105000000,1715137256116000000,2
AWTEventQueue.dispatchTime90PNs,1715137196105000000,1715137256116000000,4292607
FlushQueue.waitingTimeAvgNs,1715137196105000000,1715137256116000000,4.3354112656E7
WriteAction.executionsCount,1715137196105000000,1715137256116000000,12
compiler.ArtifactManagerBridge.addArtifact.ms,1715137196105000000,1715137256116000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1715137196105000000,1715137256116000000,1
compiler.ArtifactManagerBridge.initBridges.ms,1715137196105000000,1715137256116000000,0
compiler.ArtifactManagerBridge.commit.ms,1715137196105000000,1715137256116000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1715137196105000000,1715137256116000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1715137196105000000,1715137256116000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1715137196105000000,1715137256116000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1715137196105000000,1715137256116000000,1
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1715137196105000000,1715137256116000000,0
OS.loadAverage,1715137196105000000,1715137256116000000,1.5166015625
JVM.threadCount,1715137196105000000,1715137256116000000,141
JVM.totalCpuTimeMs,1715137196105000000,1715137256116000000,43550
JVM.usedHeapBytes,1715137196105000000,1715137256116000000,285212672
JVM.maxThreadCount,1715137196105000000,1715137256116000000,143
JVM.maxHeapBytes,1715137196105000000,1715137256116000000,2147483648
JVM.GC.collectionTimesMs,1715137196105000000,1715137256116000000,168
JVM.GC.collections,1715137196105000000,1715137256116000000,25
JVM.usedNativeBytes,1715137196105000000,1715137256116000000,353806008
JVM.totalDirectByteBuffersBytes,1715137196105000000,1715137256116000000,287147784
JVM.totalBytesAllocated,1715137196105000000,1715137256116000000,1408178208
JVM.newThreadsCount,1715137196105000000,1715137256116000000,148
workspaceModel.mutableEntityStorage.resolve.ms,1715137196105000000,1715137256116000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1715137196105000000,1715137256116000000,2
jps.global.get.libraries.ms,1715137196105000000,1715137256116000000,0
jps.facet.change.listener.init.bridge.ms,1715137196105000000,1715137256116000000,0
jps.load.initial.state.ms,1715137196105000000,1715137256116000000,14
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1715137196105000000,1715137256116000000,0
jps.app.storage.content.reader.load.component.ms,1715137196105000000,1715137256116000000,1
jps.global.handle.before.change.events.ms,1715137196105000000,1715137256116000000,0
workspaceModel.orphan.listener.update.ms,1715137196105000000,1715137256116000000,3
workspaceModel.mutableEntityStorage.put.entity.ms,1715137196105000000,1715137256116000000,4
jps.load.project.to.empty.storage.ms,1715137196105000000,1715137256116000000,59
workspaceModel.moduleBridge.facet.initialization.ms,1715137196105000000,1715137256116000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1715137196105000000,1715137256116000000,0
